Loading static graph/features (shared across all trials, k fixed)...
n_train=324  sigma_ref=0.00877
trial 62: hidden_dim=64 n_layers=5 lr=1.44e-03 dropout=0.015 weight_decay=1.00e-06
  trial 74  epoch 15  val_loss=0.00333  best=0.00310  bad_epochs=1
  trial 74  epoch 20  val_loss=0.00270  best=0.00254  bad_epochs=2
  trial 74  epoch 25  val_loss=0.00510  best=0.00237  bad_epochs=2
  trial 74  epoch 30  val_loss=0.00351  best=0.00190  bad_epochs=1
  trial 74  epoch 35  val_loss=0.00208  best=0.00171  bad_epochs=1
  trial 74  epoch 40  val_loss=0.00183  best=0.00171  bad_epochs=6
  trial 74  epoch 45  val_loss=0.00149  best=0.00149  bad_epochs=0
  trial 74  epoch 50  val_loss=0.00132  best=0.00132  bad_epochs=0
  trial 74  epoch 55  val_loss=0.00142  best=0.00132  bad_epochs=5
  trial 74  [internal val]  R2=0.9395  worst_rMAE=0.0449  mean_rMAE=0.0282  mean_KLw=3.6964  max_KLw=6.3999
trial 75: hidden_dim=32 n_layers=4 lr=7.90e-04 dropout=0.058 weight_decay=4.78e-06
  trial 75  epoch 0  val_loss=0.01570  best=0.01570  bad_epochs=0
  trial 75  epoch 5  val_loss=0.00689  best=0.00689  bad_epochs=0
  trial 75  epoch 10  val_loss=0.00497  best=0.00487  bad_epochs=2
  trial 75  epoch 15  val_loss=0.00389  best=0.00378  bad_epochs=1
  trial 75  epoch 20  val_loss=0.00304  best=0.00304  bad_epochs=0
  trial 75  epoch 25  val_loss=0.00276  best=0.00265  bad_epochs=2
  trial 75: pruned at epoch 29 (val_loss=0.00282)
trial 76: hidden_dim=64 n_layers=4 lr=1.76e-03 dropout=0.138 weight_decay=2.18e-06
  trial 76  epoch 0  val_loss=0.01113  best=0.01113  bad_epochs=0
  trial 76  epoch 5  val_loss=0.00647  best=0.00566  bad_epochs=1
  trial 76  epoch 10  val_loss=0.00410  best=0.00383  bad_epochs=2
  trial 76  epoch 15  val_loss=0.00372  best=0.00310  bad_epochs=1
  trial 76  epoch 20  val_loss=0.00226  best=0.00226  bad_epochs=0
  trial 76  epoch 25  val_loss=0.00282  best=0.00222  bad_epochs=1
  trial 76  epoch 30  val_loss=0.00202  best=0.00202  bad_epochs=0
  trial 76  epoch 35  val_loss=0.00191  best=0.00167  bad_epochs=2
  trial 76  epoch 40  val_loss=0.00154  best=0.00154  bad_epochs=0
  trial 76  epoch 45  val_loss=0.00143  best=0.00143  bad_epochs=2
  trial 76  epoch 50  val_loss=0.00128  best=0.00128  bad_epochs=0
  trial 76  epoch 55  val_loss=0.00136  best=0.00128  bad_epochs=5
  trial 76  [internal val]  R2=0.9414  worst_rMAE=0.0465  mean_rMAE=0.0283  mean_KLw=3.7200  max_KLw=6.6207
trial 77: hidden_dim=64 n_layers=4 lr=1.04e-03 dropout=0.091 weight_decay=1.65e-06
  trial 77  epoch 0  val_loss=0.01193  best=0.01193  bad_epochs=0
  trial 77  epoch 5  val_loss=0.00720  best=0.00645  bad_epochs=1
  trial 77  epoch 10  val_loss=0.00744  best=0.00491  bad_epochs=2
  trial 77  epoch 15  val_loss=0.00328  best=0.00328  bad_epochs=0
  trial 77  epoch 20  val_loss=0.00297  best=0.00272  bad_epochs=2
  trial 77  epoch 25  val_loss=0.00346  best=0.00245  bad_epochs=4
  trial 77  epoch 30  val_loss=0.00270  best=0.00200  bad_epochs=1
  trial 77  epoch 35  val_loss=0.00213  best=0.00176  bad_epochs=2
  trial 77  epoch 40  val_loss=0.00181  best=0.00176  bad_epochs=7
  trial 77  epoch 45  val_loss=0.00150  best=0.00150  bad_epochs=0
  trial 77  epoch 50  val_loss=0.00148  best=0.00148  bad_epochs=0
  trial 77  epoch 55  val_loss=0.00140  best=0.00140  bad_epochs=0
  trial 77  [internal val]  R2=0.9432  worst_rMAE=0.0511  mean_rMAE=0.0272  mean_KLw=3.3913  max_KLw=7.0245
trial 78: hidden_dim=64 n_layers=4 lr=1.24e-03 dropout=0.083 weight_decay=1.71e-06
  trial 78  epoch 0  val_loss=0.01164  best=0.01164  bad_epochs=0
  trial 78  epoch 5  val_loss=0.00659  best=0.00656  bad_epochs=2
  trial 78  epoch 10  val_loss=0.00409  best=0.00409  bad_epochs=0
  trial 78  epoch 15  val_loss=0.00321  best=0.00300  bad_epochs=1
  trial 78  epoch 20  val_loss=0.00278  best=0.00259  bad_epochs=2
  trial 78  epoch 25  val_loss=0.00817  best=0.00214  bad_epochs=2
  trial 78  epoch 30  val_loss=0.00273  best=0.00207  bad_epochs=2
  trial 78  epoch 35  val_loss=0.00218  best=0.00170  bad_epochs=1
  trial 78  epoch 40  val_loss=0.00166  best=0.00166  bad_epochs=2
  trial 78  epoch 45  val_loss=0.00140  best=0.00140  bad_epochs=0
  trial 78  epoch 50  val_loss=0.00133  best=0.00133  bad_epochs=0
  trial 78  epoch 55  val_loss=0.00156  best=0.00133  bad_epochs=5
  trial 78  [internal val]  R2=0.9463  worst_rMAE=0.0494  mean_rMAE=0.0268  mean_KLw=3.3481  max_KLw=7.0128
trial 79: hidden_dim=64 n_layers=4 lr=1.27e-03 dropout=0.053 weight_decay=1.83e-06
  trial 79  epoch 0  val_loss=0.01147  best=0.01147  bad_epochs=0
  trial 79  epoch 5  val_loss=0.00598  best=0.00598  bad_epochs=0
  trial 79  epoch 10  val_loss=0.00450  best=0.00450  bad_epochs=0
  trial 79  epoch 15  val_loss=0.00337  best=0.00287  bad_epochs=1
  trial 79  epoch 20  val_loss=0.00268  best=0.00252  bad_epochs=2
  trial 79  epoch 25  val_loss=0.00912  best=0.00226  bad_epochs=2
  trial 79  epoch 30  val_loss=0.00383  best=0.00208  bad_epochs=1
  trial 79  epoch 35  val_loss=0.00186  best=0.00163  bad_epochs=1
  trial 79  epoch 40  val_loss=0.00177  best=0.00163  bad_epochs=6
  trial 79  epoch 45  val_loss=0.00135  best=0.00135  bad_epochs=0
  trial 79  epoch 50  val_loss=0.00128  best=0.00128  bad_epochs=0
  trial 79  epoch 55  val_loss=0.00207  best=0.00128  bad_epochs=5
  trial 79  [internal val]  R2=0.9484  worst_rMAE=0.0445  mean_rMAE=0.0262  mean_KLw=3.2729  max_KLw=6.3583

Best trial:
  value (val loss): 0.00108
  hidden_dim: 64
  n_layers: 5
  lr: 0.0010315204145019904
  dropout: 0.04488877589543919
  weight_decay: 2.503177453309119e-06
  [internal val]  R2=0.9506  worst_rMAE=0.0454  mean_rMAE=0.0257  mean_KLw=3.1993  max_KLw=6.6638

80 trials total (40 pruned, 30 completed)
