Loading static graph/features (shared across all trials, k fixed)...
n_train=324
trial 51: hidden_dim=64 n_layers=5 lr=6.73e-03 dropout=0.099 weight_decay=5.27e-06
  trial 56  epoch 17  val_loss=0.00882  best=0.00308  bad_epochs=1
  trial 56  epoch 18  val_loss=0.00262  best=0.00262  bad_epochs=0
  trial 56  epoch 19  val_loss=0.00269  best=0.00262  bad_epochs=1
  trial 56  epoch 20  val_loss=0.00293  best=0.00262  bad_epochs=2
  trial 56  epoch 21  val_loss=0.00332  best=0.00262  bad_epochs=3
  trial 56  epoch 22  val_loss=0.00389  best=0.00262  bad_epochs=4
  trial 56  epoch 23  val_loss=0.00238  best=0.00238  bad_epochs=0
  trial 56  epoch 24  val_loss=0.00350  best=0.00238  bad_epochs=1
  trial 56  epoch 25  val_loss=0.00456  best=0.00238  bad_epochs=2
  trial 56  epoch 26  val_loss=0.00215  best=0.00215  bad_epochs=0
  trial 56  epoch 27  val_loss=0.00219  best=0.00215  bad_epochs=1
  trial 56  epoch 28  val_loss=0.00401  best=0.00215  bad_epochs=2
  trial 56  epoch 29  val_loss=0.00210  best=0.00210  bad_epochs=0
  trial 56  epoch 30  val_loss=0.00204  best=0.00204  bad_epochs=0
  trial 56  epoch 31  val_loss=0.00200  best=0.00200  bad_epochs=0
  trial 56  epoch 32  val_loss=0.00207  best=0.00200  bad_epochs=1
  trial 56  epoch 33  val_loss=0.00254  best=0.00200  bad_epochs=2
  trial 56  epoch 34  val_loss=0.00183  best=0.00183  bad_epochs=0
  trial 56  epoch 35  val_loss=0.00212  best=0.00183  bad_epochs=1
  trial 56  epoch 36  val_loss=0.00168  best=0.00168  bad_epochs=0
  trial 56  epoch 37  val_loss=0.00230  best=0.00168  bad_epochs=1
  trial 56  epoch 38  val_loss=0.00228  best=0.00168  bad_epochs=2
  trial 56  epoch 39  val_loss=0.00202  best=0.00168  bad_epochs=3
  trial 56  epoch 40  val_loss=0.00223  best=0.00168  bad_epochs=4
  trial 56  epoch 41  val_loss=0.00182  best=0.00168  bad_epochs=5
  trial 56  epoch 42  val_loss=0.00365  best=0.00168  bad_epochs=6
  trial 56  epoch 43  val_loss=0.00189  best=0.00168  bad_epochs=7
  trial 56  epoch 44  val_loss=0.00196  best=0.00168  bad_epochs=8
  trial 56  epoch 45  val_loss=0.00137  best=0.00137  bad_epochs=0
  trial 56  epoch 46  val_loss=0.00201  best=0.00137  bad_epochs=1
  trial 56  epoch 47  val_loss=0.00171  best=0.00137  bad_epochs=2
  trial 56  epoch 48  val_loss=0.00151  best=0.00137  bad_epochs=3
  trial 56  epoch 49  val_loss=0.00145  best=0.00137  bad_epochs=4
  trial 56  epoch 50  val_loss=0.00146  best=0.00137  bad_epochs=5
  trial 56  epoch 51  val_loss=0.00152  best=0.00137  bad_epochs=6
  trial 56  epoch 52  val_loss=0.00157  best=0.00137  bad_epochs=7
  trial 56  epoch 53  val_loss=0.00139  best=0.00137  bad_epochs=8
  trial 56  epoch 54  val_loss=0.00206  best=0.00137  bad_epochs=9
  trial 56  epoch 55  val_loss=0.00137  best=0.00137  bad_epochs=10
trial 57: hidden_dim=64 n_layers=4 lr=1.11e-03 dropout=0.046 weight_decay=2.24e-06
  trial 57  epoch 0  val_loss=0.01165  best=0.01165  bad_epochs=0
  trial 57  epoch 1  val_loss=0.00916  best=0.00916  bad_epochs=0
  trial 57  epoch 2  val_loss=0.00793  best=0.00793  bad_epochs=0
  trial 57  epoch 3  val_loss=0.00693  best=0.00693  bad_epochs=0
  trial 57  epoch 4  val_loss=0.00646  best=0.00646  bad_epochs=0
  trial 57  epoch 5  val_loss=0.00665  best=0.00646  bad_epochs=1
  trial 57  epoch 6  val_loss=0.00633  best=0.00633  bad_epochs=0
  trial 57  epoch 7  val_loss=0.00474  best=0.00474  bad_epochs=0
  trial 57  epoch 8  val_loss=0.00970  best=0.00474  bad_epochs=1
  trial 57  epoch 9  val_loss=0.00662  best=0.00474  bad_epochs=2
  trial 57  epoch 10  val_loss=0.00386  best=0.00386  bad_epochs=0
  trial 57  epoch 11  val_loss=0.00384  best=0.00384  bad_epochs=0
  trial 57  epoch 12  val_loss=0.00335  best=0.00335  bad_epochs=0
  trial 57  epoch 13  val_loss=0.00345  best=0.00335  bad_epochs=1
  trial 57  epoch 14  val_loss=0.00311  best=0.00311  bad_epochs=0
  trial 57  epoch 15  val_loss=0.00329  best=0.00311  bad_epochs=1
  trial 57  epoch 16  val_loss=0.00291  best=0.00291  bad_epochs=0
  trial 57  epoch 17  val_loss=0.00855  best=0.00291  bad_epochs=1
  trial 57  epoch 18  val_loss=0.00284  best=0.00284  bad_epochs=0
  trial 57  epoch 19  val_loss=0.00260  best=0.00260  bad_epochs=0
  trial 57  epoch 20  val_loss=0.00275  best=0.00260  bad_epochs=1
  trial 57  epoch 21  val_loss=0.00271  best=0.00260  bad_epochs=2
  trial 57  epoch 22  val_loss=0.00545  best=0.00260  bad_epochs=3
  trial 57  epoch 23  val_loss=0.00239  best=0.00239  bad_epochs=0
  trial 57  epoch 24  val_loss=0.00247  best=0.00239  bad_epochs=1
  trial 57  epoch 25  val_loss=0.00402  best=0.00239  bad_epochs=2
  trial 57  epoch 26  val_loss=0.00209  best=0.00209  bad_epochs=0
  trial 57  epoch 27  val_loss=0.00240  best=0.00209  bad_epochs=1
